Precinct,ResultType,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
WARD2 SHERMAN RO TWP,Final,0,11,0,19,0,0,0,0,18,0,0,0,0,0
WARD2 SHERMAN RO TWP,SDE,0.0,0.16,0.0,0.32,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0
WARD3 SHERMAN PILOT GROVE FRANKFORT RO TWP,First,0,14,0,14,0,0,15,0,5,0,4,5,0,2
WARD3 SHERMAN PILOT GROVE FRANKFORT RO TWP,Final,0,18,0,18,0,0,22,0,1,0,0,0,0,0
WARD3 SHERMAN PILOT GROVE FRANKFORT RO TWP,SDE,0.0,0.32,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARD1 PILOT GROVE FRANKFORT RO TWP,First,0,11,0,11,0,0,4,0,13,0,7,0,0,0
WARD1 PILOT GROVE FRANKFORT RO TWP,Final,0,11,0,15,0,0,0,0,13,0,7,0,0,0
WARD1 PILOT GROVE FRANKFORT RO TWP,SDE,0.0,0.16,0.0,0.24,0.0,0.0,0.0,0.0,0.24,0.0,0.16,0.0,0.0,0.0
West Liberty 2,First,0,15,0,8,0,0,0,0,47,0,21,1,0,0
West Liberty 2,Final,0,16,0,4,0,0,0,0,48,0,24,0,0,0
West Liberty 2,SDE,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333,0.0,0.0,0.0
Wilton City,First,0,15,1,25,0,0,11,0,22,0,21,5,0,0
Wilton City,Final,0,19,0,33,0,0,0,0,26,0,21,0,0,0
Wilton City,SDE,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.3333,0.0,0.0,0.0
Muscatine 01st,First,0,23,0,21,0,0,16,0,36,0,16,9,0,0
Muscatine 01st,Final,0,23,0,22,0,0,20,0,37,0,19,0,0,0
Muscatine 01st,SDE,0.0,0.3333,0.0,0.3333,0.0,0.0,0.3333,0.0,0.5,0.0,0.3333,0.0,0.0,0.0
West Liberty/Wapsie-WL1 C,First,0,8,0,32,0,0,12,0,49,0,29,14,0,0
West Liberty/Wapsie-WL1 C,Final,0,0,0,48,0,0,0,0,55,0,34,0,0,0
West Liberty/Wapsie-WL1 C,SDE,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.8333,0.0,0.5,0.0,0.0,0.0
Muscatine 03rd,First,0,15,0,13,0,1,0,0,30,1,9,6,0,0
Muscatine 03rd,Final,0,17,0,15,0,0,0,0,33,0,15,0,0,0
Muscatine 03rd,SDE,0.0,0.3333,0.0,0.1667,0.0,0.0,0.0,0.0,0.5,0.0,0.3333,0.0,0.0,0.0
Pike-City,First,0,8,0,8,0,0,0,0,7,0,0,0,0,0
Pike-City,Final,0,8,0,9,0,0,0,0,0,0,0,0,0,6
Pike-City,SDE,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruitland One-City,First,0,15,0,7,0,1,4,0,9,0,3,5,1,0
Fruitland One-City,Final,0,21,0,0,0,0,0,0,16,0,0,0,0,0
Fruitland One-City,SDE,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0
Muscatine 10th,First,0,18,0,14,0,1,7,0,28,4,10,11,0,0
Muscatine 10th,Final,0,30,0,20,0,0,0,0,35,0,5,3,0,0
Muscatine 10th,SDE,0.0,0.5,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
Muscatine 06th,First,4,22,0,60,0,0,17,0,34,7,20,7,0,0
Muscatine 06th,Final,0,9,0,73,0,0,40,0,44,0,5,0,0,0
